Year,Month,State,Sale_RES,Sale_COM,Sale_IND,Sale_OTH,Sale_ALL,Price_RES,Price_COM,Price_IND,Price_OTH,Price_ALL,Rev_RES,Rev_COM,Rev_IND,Rev_OTH,Rev_ALL,Cus_RES,Cus_COM,Cus_IND,Cus_OTH,Cus_ALL,Heating_deg_days,Cooling_deg_days,Pop,Income,UR,GSP,CPI,Regions,Year-Month,Sale_ALL_no_OTH
1990,1,VT,207.08,136.45,119.59,4.22,467.35,9.31,9.37,7.85,11.89,8.97,19.27,12.78,9.38,0.5,41.94,256646.0,35440.0,1074.0,3662.0,296822.0,1181.0,0.0,562.894,10324.7,4.3,11727.0,132.0,New England ,1990-01-01,463.12
1990,1,WA,3331.95,1596.92,3342.33,330.83,8602.02,4.4,4.19,2.54,3.45,3.6,146.62,66.96,85.05,11.4,310.03,1994038.0,228335.0,10411.0,21473.0,2254257.0,807.0,1.0,4886.608,98476.0,5.4,115650.0,132.0,Pacific Contiguous ,1990-01-01,8271.2
1990,1,WI,1653.93,1053.54,1469.98,65.38,4242.84,6.44,5.73,4.09,6.16,5.45,106.49,60.4,60.2,4.03,231.11,2012002.0,230192.0,6864.0,10369.0,2259427.0,1182.0,0.0,4888.089,90060.1,4.2,100313.0,132.0,East North Central ,1990-01-01,4177.45
1990,1,WV,904.65,456.24,882.74,9.46,2253.1,5.51,5.16,3.47,6.98,4.65,49.88,23.56,30.62,0.66,104.72,749789.0,95603.0,10528.0,3489.0,859409.0,823.0,0.0,1787.2979999999998,26097.0,7.9,28336.0,132.0,South Atlantic ,1990-01-01,2243.63
1990,1,WY,195.51,192.66,653.02,15.27,1056.46,5.63,5.19,3.51,3.2,4.2,11.0,9.99,22.93,0.49,44.42,194820.0,38257.0,3270.0,4021.0,240368.0,1230.0,0.0,452.09,8231.9,5.6,13150.0,132.0,Mountain ,1990-01-01,1041.19
1990,2,AK,177.5,174.4,39.44,17.18,408.52,9.47,8.8,8.27,11.99,9.17,16.8,15.34,3.26,2.06,37.46,196084.0,31721.0,338.0,8886.0,237029.0,,,551.913,12776.9,7.2,24987.0,132.8,Pacific Noncontiguous ,1990-02-01,391.34000000000003
1990,2,AL,1329.14,765.06,2184.61,52.56,4331.37,7.0,6.44,3.63,5.18,5.18,93.05,49.24,79.3,2.72,224.32,1639685.0,229488.0,9341.0,14910.0,1893424.0,331.0,21.0,4039.673,64029.4,6.7,71085.0,132.8,East South Central ,1990-02-01,4278.8099999999995
1990,2,AR,744.82,413.57,762.3,44.75,1965.44,7.72,6.84,4.87,6.74,6.41,57.5,28.3,37.14,3.02,125.96,993402.0,110537.0,23863.0,15633.0,1143435.0,463.0,5.0,2349.205,34283.2,6.7,38109.0,132.8,West South Central ,1990-02-01,1920.6899999999998
1990,2,AZ,1284.56,964.16,734.97,152.14,3135.83,7.85,7.86,5.23,5.22,7.11,100.81,75.78,38.43,7.94,222.96,1419578.0,159743.0,5461.0,21278.0,1606060.0,440.0,0.0,3671.027,63546.7,5.3,69322.0,132.8,Mountain ,1990-02-01,2983.69
1990,2,CA,5700.94,5844.68,4417.72,750.41,16713.75,9.9,9.18,6.37,4.23,8.46,564.41,536.64,281.42,31.71,1414.18,10493065.0,1383600.0,37864.0,47706.0,11962235.0,535.0,0.0,29884.752,640724.9,5.2,788322.0,132.8,Pacific Contiguous ,1990-02-01,15963.34
