Year,Month,State,Cus_RES,Cus_COM,Cus_IND,Cus_OTH,Cus_ALL
1990,8,ME,568073,67236,2845,18854,657008
1990,9,ME,568073,67236,2845,18854,657008
1990,10,ME,568073,67236,2845,18854,657008
1990,11,ME,568073,67236,2845,18854,657008
1990,12,ME,568073,67236,2845,18854,657008
1990,1,MI,3661732,384526,14653,17310,4078221
1990,2,MI,3661732,384526,14653,17310,4078221
1990,3,MI,3661732,384526,14653,17310,4078221
1990,4,MI,3661732,384526,14653,17310,4078221
1990,5,MI,3661732,384526,14653,17310,4078221
1990,6,MI,3661732,384526,14653,17310,4078221
1990,7,MI,3661732,384526,14653,17310,4078221
1990,8,MI,3661732,384526,14653,17310,4078221
1990,9,MI,3661732,384526,14653,17310,4078221
1990,10,MI,3661732,384526,14653,17310,4078221
1990,11,MI,3661732,384526,14653,17310,4078221
1990,12,MI,3661732,384526,14653,17310,4078221
1990,1,MN,1755161,196379,9581,24301,1985422
1990,2,MN,1755161,196379,9581,24301,1985422
1990,3,MN,1755161,196379,9581,24301,1985422
1990,4,MN,1755161,196379,9581,24301,1985422
1990,5,MN,1755161,196379,9581,24301,1985422
1990,6,MN,1755161,196379,9581,24301,1985422
1990,7,MN,1755161,196379,9581,24301,1985422
1990,8,MN,1755161,196379,9581,24301,1985422
1990,9,MN,1755161,196379,9581,24301,1985422
1990,10,MN,1755161,196379,9581,24301,1985422
1990,11,MN,1755161,196379,9581,24301,1985422
1990,12,MN,1755161,196379,9581,24301,1985422
1990,1,MO,2143649,255089,10372,14382,2423492
1990,2,MO,2143649,255089,10372,14382,2423492
1990,3,MO,2143649,255089,10372,14382,2423492
1990,4,MO,2143649,255089,10372,14382,2423492
1990,5,MO,2143649,255089,10372,14382,2423492
1990,6,MO,2143649,255089,10372,14382,2423492
1990,7,MO,2143649,255089,10372,14382,2423492
1990,8,MO,2143649,255089,10372,14382,2423492
1990,9,MO,2143649,255089,10372,14382,2423492
1990,10,MO,2143649,255089,10372,14382,2423492
1990,11,MO,2143649,255089,10372,14382,2423492
1990,12,MO,2143649,255089,10372,14382,2423492
1990,1,MS,998320,144114,5841,15789,1164064
1990,2,MS,998320,144114,5841,15789,1164064
1990,3,MS,998320,144114,5841,15789,1164064
1990,4,MS,998320,144114,5841,15789,1164064
1990,5,MS,998320,144114,5841,15789,1164064
1990,6,MS,998320,144114,5841,15789,1164064
1990,7,MS,998320,144114,5841,15789,1164064
1990,8,MS,998320,144114,5841,15789,1164064
1990,9,MS,998320,144114,5841,15789,1164064
1990,10,MS,998320,144114,5841,15789,1164064
1990,11,MS,998320,144114,5841,15789,1164064
1990,12,MS,998320,144114,5841,15789,1164064
1990,1,MT,342822,56633,3215,10174,412844
1990,2,MT,342822,56633,3215,10174,412844
1990,3,MT,342822,56633,3215,10174,412844
1990,4,MT,342822,56633,3215,10174,412844
1990,5,MT,342822,56633,3215,10174,412844
1990,6,MT,342822,56633,3215,10174,412844
1990,7,MT,342822,56633,3215,10174,412844
1990,8,MT,342822,56633,3215,10174,412844
1990,9,MT,342822,56633,3215,10174,412844
1990,10,MT,342822,56633,3215,10174,412844
1990,11,MT,342822,56633,3215,10174,412844
1990,12,MT,342822,56633,3215,10174,412844
1990,1,NC,2801451,388208,14687,28086,3232432
1990,2,NC,2801451,388208,14687,28086,3232432
1990,3,NC,2801451,388208,14687,28086,3232432
1990,4,NC,2801451,388208,14687,28086,3232432
1990,5,NC,2801451,388208,14687,28086,3232432
1990,6,NC,2801451,388208,14687,28086,3232432
1990,7,NC,2801451,388208,14687,28086,3232432
1990,8,NC,2801451,388208,14687,28086,3232432
1990,9,NC,2801451,388208,14687,28086,3232432
1990,10,NC,2801451,388208,14687,28086,3232432
1990,11,NC,2801451,388208,14687,28086,3232432
1990,12,NC,2801451,388208,14687,28086,3232432
1990,1,ND,262529,45370,2430,5038,315367
1990,2,ND,262529,45370,2430,5038,315367
1990,3,ND,262529,45370,2430,5038,315367
1990,4,ND,262529,45370,2430,5038,315367
1990,5,ND,262529,45370,2430,5038,315367
1990,6,ND,262529,45370,2430,5038,315367
1990,7,ND,262529,45370,2430,5038,315367
1990,8,ND,262529,45370,2430,5038,315367
1990,9,ND,262529,45370,2430,5038,315367
1990,10,ND,262529,45370,2430,5038,315367
1990,11,ND,262529,45370,2430,5038,315367
1990,12,ND,262529,45370,2430,5038,315367
1990,1,NE,649256,104898,5458,39855,799467
1990,2,NE,649256,104898,5458,39855,799467
1990,3,NE,649256,104898,5458,39855,799467
1990,4,NE,649256,104898,5458,39855,799467
1990,5,NE,649256,104898,5458,39855,799467
1990,6,NE,649256,104898,5458,39855,799467
1990,7,NE,649256,104898,5458,39855,799467
1990,8,NE,649256,104898,5458,39855,799467
1990,9,NE,649256,104898,5458,39855,799467
1990,10,NE,649256,104898,5458,39855,799467
1990,11,NE,649256,104898,5458,39855,799467
1990,12,NE,649256,104898,5458,39855,799467
1990,1,NH,485545,72114,1627,5107,564393
1990,2,NH,485545,72114,1627,5107,564393
1990,3,NH,485545,72114,1627,5107,564393
1990,4,NH,485545,72114,1627,5107,564393
1990,5,NH,485545,72114,1627,5107,564393
1990,6,NH,485545,72114,1627,5107,564393
1990,7,NH,485545,72114,1627,5107,564393
1990,8,NH,485545,72114,1627,5107,564393
1990,9,NH,485545,72114,1627,5107,564393
1990,10,NH,485545,72114,1627,5107,564393
1990,11,NH,485545,72114,1627,5107,564393
1990,12,NH,485545,72114,1627,5107,564393
1990,1,NJ,2898533,386093,12124,9109,3305859
1990,2,NJ,2898533,386093,12124,9109,3305859
1990,3,NJ,2898533,386093,12124,9109,3305859
1990,4,NJ,2898533,386093,12124,9109,3305859
1990,5,NJ,2898533,386093,12124,9109,3305859
1990,6,NJ,2898533,386093,12124,9109,3305859
1990,7,NJ,2898533,386093,12124,9109,3305859
1990,8,NJ,2898533,386093,12124,9109,3305859
1990,9,NJ,2898533,386093,12124,9109,3305859
1990,10,NJ,2898533,386093,12124,9109,3305859
1990,11,NJ,2898533,386093,12124,9109,3305859
1990,12,NJ,2898533,386093,12124,9109,3305859
1990,1,NM,575602,84555,4964,10041,675162
1990,2,NM,575602,84555,4964,10041,675162
1990,3,NM,575602,84555,4964,10041,675162
1990,4,NM,575602,84555,4964,10041,675162
1990,5,NM,575602,84555,4964,10041,675162
1990,6,NM,575602,84555,4964,10041,675162
1990,7,NM,575602,84555,4964,10041,675162
1990,8,NM,575602,84555,4964,10041,675162
1990,9,NM,575602,84555,4964,10041,675162
1990,10,NM,575602,84555,4964,10041,675162
1990,11,NM,575602,84555,4964,10041,675162
1990,12,NM,575602,84555,4964,10041,675162
1990,1,NV,487491,72146,785,1693,562115
1990,2,NV,487491,72146,785,1693,562115
1990,3,NV,487491,72146,785,1693,562115
1990,4,NV,487491,72146,785,1693,562115
1990,5,NV,487491,72146,785,1693,562115
1990,6,NV,487491,72146,785,1693,562115
1990,7,NV,487491,72146,785,1693,562115
1990,8,NV,487491,72146,785,1693,562115
1990,9,NV,487491,72146,785,1693,562115
1990,10,NV,487491,72146,785,1693,562115
1990,11,NV,487491,72146,785,1693,562115
1990,12,NV,487491,72146,785,1693,562115
1990,1,NY,6265737,818952,11874,29853,7126416
1990,2,NY,6265737,818952,11874,29853,7126416
1990,3,NY,6265737,818952,11874,29853,7126416
1990,4,NY,6265737,818952,11874,29853,7126416
1990,5,NY,6265737,818952,11874,29853,7126416
1990,6,NY,6265737,818952,11874,29853,7126416
1990,7,NY,6265737,818952,11874,29853,7126416
1990,8,NY,6265737,818952,11874,29853,7126416
1990,9,NY,6265737,818952,11874,29853,7126416
1990,10,NY,6265737,818952,11874,29853,7126416
1990,11,NY,6265737,818952,11874,29853,7126416
1990,12,NY,6265737,818952,11874,29853,7126416
1990,1,OH,4211924,453321,31255,18736,4715236
1990,2,OH,4211924,453321,31255,18736,4715236
1990,3,OH,4211924,453321,31255,18736,4715236
1990,4,OH,4211924,453321,31255,18736,4715236
1990,5,OH,4211924,453321,31255,18736,4715236
1990,6,OH,4211924,453321,31255,18736,4715236
1990,7,OH,4211924,453321,31255,18736,4715236
1990,8,OH,4211924,453321,31255,18736,4715236
1990,9,OH,4211924,453321,31255,18736,4715236
1990,10,OH,4211924,453321,31255,18736,4715236
1990,11,OH,4211924,453321,31255,18736,4715236
1990,12,OH,4211924,453321,31255,18736,4715236
1990,1,OK,1507884,222492,14877,12822,1758075
1990,2,OK,1507884,222492,14877,12822,1758075
1990,3,OK,1507884,222492,14877,12822,1758075
1990,4,OK,1507884,222492,14877,12822,1758075
1990,5,OK,1507884,222492,14877,12822,1758075
1990,6,OK,1507884,222492,14877,12822,1758075
1990,7,OK,1507884,222492,14877,12822,1758075
1990,8,OK,1507884,222492,14877,12822,1758075
1990,9,OK,1507884,222492,14877,12822,1758075
1990,10,OK,1507884,222492,14877,12822,1758075
1990,11,OK,1507884,222492,14877,12822,1758075
1990,12,OK,1507884,222492,14877,12822,1758075
1990,1,OR,1173617,166965,6922,9988,1357492
1990,2,OR,1173617,166965,6922,9988,1357492
1990,3,OR,1173617,166965,6922,9988,1357492
1990,4,OR,1173617,166965,6922,9988,1357492
1990,5,OR,1173617,166965,6922,9988,1357492
1990,6,OR,1173617,166965,6922,9988,1357492
1990,7,OR,1173617,166965,6922,9988,1357492
1990,8,OR,1173617,166965,6922,9988,1357492
1990,9,OR,1173617,166965,6922,9988,1357492
1990,10,OR,1173617,166965,6922,9988,1357492
1990,11,OR,1173617,166965,6922,9988,1357492
1990,12,OR,1173617,166965,6922,9988,1357492
1990,1,PA,4635946,527747,29805,7995,5201493
1990,2,PA,4635946,527747,29805,7995,5201493
1990,3,PA,4635946,527747,29805,7995,5201493
1990,4,PA,4635946,527747,29805,7995,5201493
1990,5,PA,4635946,527747,29805,7995,5201493
1990,6,PA,4635946,527747,29805,7995,5201493
1990,7,PA,4635946,527747,29805,7995,5201493
1990,8,PA,4635946,527747,29805,7995,5201493
1990,9,PA,4635946,527747,29805,7995,5201493
1990,10,PA,4635946,527747,29805,7995,5201493
1990,11,PA,4635946,527747,29805,7995,5201493
1990,12,PA,4635946,527747,29805,7995,5201493
1990,1,RI,386421,44944,2578,945,434888
1990,2,RI,386421,44944,2578,945,434888
1990,3,RI,386421,44944,2578,945,434888
1990,4,RI,386421,44944,2578,945,434888
1990,5,RI,386421,44944,2578,945,434888
1990,6,RI,386421,44944,2578,945,434888
1990,7,RI,386421,44944,2578,945,434888
1990,8,RI,386421,44944,2578,945,434888
1990,9,RI,386421,44944,2578,945,434888
1990,10,RI,386421,44944,2578,945,434888
1990,11,RI,386421,44944,2578,945,434888
1990,12,RI,386421,44944,2578,945,434888
1990,1,SC,1421991,204997,4418,14901,1646307
1990,2,SC,1421991,204997,4418,14901,1646307
1990,3,SC,1421991,204997,4418,14901,1646307
1990,4,SC,1421991,204997,4418,14901,1646307
1990,5,SC,1421991,204997,4418,14901,1646307
1990,6,SC,1421991,204997,4418,14901,1646307
1990,7,SC,1421991,204997,4418,14901,1646307
1990,8,SC,1421991,204997,4418,14901,1646307
1990,9,SC,1421991,204997,4418,14901,1646307
1990,10,SC,1421991,204997,4418,14901,1646307
1990,11,SC,1421991,204997,4418,14901,1646307
1990,12,SC,1421991,204997,4418,14901,1646307
1990,1,SD,282794,41204,2065,8549,334612
1990,2,SD,282794,41204,2065,8549,334612
1990,3,SD,282794,41204,2065,8549,334612
1990,4,SD,282794,41204,2065,8549,334612
1990,5,SD,282794,41204,2065,8549,334612
1990,6,SD,282794,41204,2065,8549,334612
1990,7,SD,282794,41204,2065,8549,334612
1990,8,SD,282794,41204,2065,8549,334612
1990,9,SD,282794,41204,2065,8549,334612
1990,10,SD,282794,41204,2065,8549,334612
1990,11,SD,282794,41204,2065,8549,334612
1990,12,SD,282794,41204,2065,8549,334612
1990,1,TN,1990131,282191,16475,31871,2320668
1990,2,TN,1990131,282191,16475,31871,2320668
1990,3,TN,1990131,282191,16475,31871,2320668
1990,4,TN,1990131,282191,16475,31871,2320668
1990,5,TN,1990131,282191,16475,31871,2320668
1990,6,TN,1990131,282191,16475,31871,2320668
1990,7,TN,1990131,282191,16475,31871,2320668
1990,8,TN,1990131,282191,16475,31871,2320668
1990,9,TN,1990131,282191,16475,31871,2320668
1990,10,TN,1990131,282191,16475,31871,2320668
1990,11,TN,1990131,282191,16475,31871,2320668
1990,12,TN,1990131,282191,16475,31871,2320668
1990,1,TX,6497003,863765,60592,91556,7512916
1990,2,TX,6497003,863765,60592,91556,7512916
1990,3,TX,6497003,863765,60592,91556,7512916
1990,4,TX,6497003,863765,60592,91556,7512916
1990,5,TX,6497003,863765,60592,91556,7512916
1990,6,TX,6497003,863765,60592,91556,7512916
1990,7,TX,6497003,863765,60592,91556,7512916
1990,8,TX,6497003,863765,60592,91556,7512916
1990,9,TX,6497003,863765,60592,91556,7512916
1990,10,TX,6497003,863765,60592,91556,7512916
1990,11,TX,6497003,863765,60592,91556,7512916
1990,12,TX,6497003,863765,60592,91556,7512916
1990,1,UT,564148,59203,7606,3641,634598
1990,2,UT,564148,59203,7606,3641,634598
1990,3,UT,564148,59203,7606,3641,634598
1990,4,UT,564148,59203,7606,3641,634598
1990,5,UT,564148,59203,7606,3641,634598
1990,6,UT,564148,59203,7606,3641,634598
1990,7,UT,564148,59203,7606,3641,634598
1990,8,UT,564148,59203,7606,3641,634598
1990,9,UT,564148,59203,7606,3641,634598
1990,10,UT,564148,59203,7606,3641,634598
1990,11,UT,564148,59203,7606,3641,634598
1990,12,UT,564148,59203,7606,3641,634598
1990,1,VA,2329007,252756,4946,35405,2622114
1990,2,VA,2329007,252756,4946,35405,2622114
1990,3,VA,2329007,252756,4946,35405,2622114
1990,4,VA,2329007,252756,4946,35405,2622114
1990,5,VA,2329007,252756,4946,35405,2622114
1990,6,VA,2329007,252756,4946,35405,2622114
1990,7,VA,2329007,252756,4946,35405,2622114
1990,8,VA,2329007,252756,4946,35405,2622114
1990,9,VA,2329007,252756,4946,35405,2622114
1990,10,VA,2329007,252756,4946,35405,2622114
1990,11,VA,2329007,252756,4946,35405,2622114
1990,12,VA,2329007,252756,4946,35405,2622114
1990,1,VT,256646,35440,1074,3662,296822
1990,2,VT,256646,35440,1074,3662,296822
1990,3,VT,256646,35440,1074,3662,296822
1990,4,VT,256646,35440,1074,3662,296822
1990,5,VT,256646,35440,1074,3662,296822
1990,6,VT,256646,35440,1074,3662,296822
1990,7,VT,256646,35440,1074,3662,296822
1990,8,VT,256646,35440,1074,3662,296822
1990,9,VT,256646,35440,1074,3662,296822
1990,10,VT,256646,35440,1074,3662,296822
1990,11,VT,256646,35440,1074,3662,296822
1990,12,VT,256646,35440,1074,3662,296822
1990,1,WA,1994038,228335,10411,21473,2254257
1990,2,WA,1994038,228335,10411,21473,2254257
1990,3,WA,1994038,228335,10411,21473,2254257
1990,4,WA,1994038,228335,10411,21473,2254257
1990,5,WA,1994038,228335,10411,21473,2254257
1990,6,WA,1994038,228335,10411,21473,2254257
1990,7,WA,1994038,228335,10411,21473,2254257
1990,8,WA,1994038,228335,10411,21473,2254257
1990,9,WA,1994038,228335,10411,21473,2254257
