Year	Month	State	Sale_RES	Sale_COM	Sale_IND	Sale_OTH	Sale_ALL
1990	4	AR	669.83	421.23	788.68	47.09	1926.83
1990	4	AZ	893.95	995.96	797.48	202.83	2890.22
1990	4	CA	4815.88	6100.35	4239.32	684.68	15840.24
1990	4	CO	799.9	1049.92	526.07	50.11	2425.99
1990	4	CT	805.22	807.06	486.14	28.8	2127.23
1990	4	DC	105.25	366.3	217.14	25.5	714.19
1990	4	DE	202.88	175.43	271.66	4.15	654.12
1990	4	FL	4449.67	3895.55	1366.79	346.88	10058.9
1990	4	GA	1818.4	1664.67	2171.09	71.86	5726.01
1990	4	HI	188.15	176.85	305.42	5.01	675.43
1990	4	IA	767.87	495.49	859.4	65.15	2187.91
1990	4	ID	401.04	347.63	546.25	10.43	1305.35
1990	4	IL	2367.13	2373.41	3022.68	623.35	8386.57
1990	4	IN	1655.21	1163.57	2915.52	48.09	5782.39
1990	4	KS	607.84	668.81	665.33	27.35	1969.34
1990	4	KY	1203.02	679.38	2796.29	184.73	4863.42
1990	4	LA	1206.7	983.29	2084.09	243.11	4517.19
1990	4	MA	1280.82	1460.41	818.39	103.23	3662.86
1990	4	MD	1456.66	786.85	1442.18	54.6	3740.29
1990	4	ME	334.02	209.37	386.47	15.14	945
1990	4	MI	1940.52	1578.52	2847.45	106.05	6472.55
1990	4	MN	1168.95	642.23	1905.35	52.67	3769.21
1990	4	MO	1545.77	1352.63	1067.01	66.98	4032.4
1990	4	MS	739.41	470.06	998.5	49.8	2257.76
1990	4	MT	253.36	207.15	523.84	33.27	1017.62
1990	4	NC	2376.42	1798.93	2522.87	122.9	6821.13
1990	4	ND	255.69	147.52	157.04	38.54	598.78
1990	4	NE	472.31	378.25	362.69	81.21	1294.45
1990	4	NH	288.45	157.85	300.16	8.26	754.72
1990	4	NJ	1436.93	2019.22	1164.79	36.87	4657.81
1990	4	NM	265.08	344.54	364.25	107.5	1081.38
1990	4	NV	311.58	286.37	496.68	47.54	1142.18
1990	4	NY	3063.04	3616.83	2588.46	934.17	10202.49
1990	4	OH	2949.69	2289.94	5753.41	350.03	11343.06
1990	4	OK	1024.84	819.06	928.18	155.99	2928.07
1990	4	OR	1172.5	874.42	1258.88	51.3	3357.09
1990	4	PA	3108.98	2311	3743.98	115.71	9279.67
1990	4	RI	189.45	194.73	115.75	15.51	515.45
1990	4	SC	1192.09	853.62	2020.36	57.69	4123.75
1990	4	SD	234.05	107.4	131	22.11	494.56
1990	4	TN	2045.06	876.18	2804.48	77.37	5803.08
1990	4	TX	4690.62	4441.65	6820.14	676.81	16629.22
1990	4	UT	294.01	341.14	475.39	31.18	1141.72
1990	4	VA	2022.42	1542.66	1328.89	625.9	5519.87
1990	4	VT	148.32	116.57	108.82	3.85	377.55
1990	4	WA	2566.89	1398.73	3338.13	311.34	7615.09
1990	4	WI	1236.52	981.83	1581.38	59.01	3858.73
1990	4	WV	607.49	381.11	904.98	7.69	1901.27
1990	4	WY	140.71	168.85	628.06	6.2	943.82
1990	5	AK	113.74	154.22	44.23	12.48	324.67
1990	5	AL	1403.41	928.8	2399.13	41.36	4772.7
1990	5	AR	634.63	446.66	782.46	46.26	1910.01
1990	5	AZ	969.61	1094.62	866.68	215.25	3146.15
1990	5	CA	4724.86	6299.97	4458.39	834.25	16317.46
1990	5	CO	747.65	1049.23	527.01	55.08	2378.98
1990	5	CT	720.22	803.3	505.35	28.94	2057.82
1990	5	DC	92.46	381.85	237.69	24.58	736.58
1990	5	DE	170.24	174.24	286.88	4.11	635.47
1990	5	FL	5237.15	4268.08	1396.66	382.23	11284.12
1990	5	GA	2065.22	1907.63	2340.13	69.99	6382.97
1990	5	HI	188.59	186.55	319.94	4.67	699.74
1990	5	IA	684.82	507.93	964.74	65.05	2222.55
1990	5	ID	380.55	488.25	605.42	25.31	1499.53
1990	5	IL	2179.24	2440.69	3247.74	616.15	8483.81
1990	5	IN	1437.04	1212.11	3015.34	46.52	5711.01
1990	5	KS	562.8	671.12	657.6	26.56	1918.08
1990	5	KY	1095.69	722.32	2925.1	195.69	4938.8
1990	5	LA	1525.02	1121.85	2144.02	266.68	5057.58
