Income,Year,Month,State
248370.6,1989,9,FL
111076.8,1989,9,GA
24160.2,1989,9,HI
47477.8,1989,9,IA
15520.3,1989,9,ID
231210.6,1989,9,IL
94449.2,1989,9,IN
43741.0,1989,9,KS
55491.2,1989,9,KY
61621.9,1989,9,LA
136437.9,1989,9,MA
106535.8,1989,9,MD
21291.4,1989,9,ME
172440.8,1989,9,MI
84378.1,1989,9,MN
89358.9,1989,9,MO
33305.8,1989,9,MS
11994.9,1989,9,MT
1.17,1989,9,NC
9623.9,1989,9,ND
27806.4,1989,9,NE
23029.7,1989,9,NH
185622.8,1989,9,NJ
22258.2,1989,9,NM
23380.5,1989,9,NV
412540.9,1989,9,NY
194867.4,1989,9,OH
49331.7,1989,9,OK
49420.6,1989,9,OR
224366.2,1989,9,PA
20146.4,1989,9,RI
54021.1,1989,9,SC
10722.9,1989,9,SD
78397.3,1989,9,TN
281985.1,1989,9,TX
24579.8,1989,9,UT
125941.8,1989,9,VA
10115.0,1989,9,VT
92669.7,1989,9,WA
87245.9,1989,9,WI
24981.5,1989,9,WV
7842.6,1989,9,WY
12486.5,1989,10,AK
62858.6,1989,10,AL
33745.2,1989,10,AR
62696.7,1989,10,AZ
631307.1,1989,10,CA
64270.5,1989,10,CO
85695.1,1989,10,CT
15510.5,1989,10,DC
14158.8,1989,10,DE
253124.9,1989,10,FL
113836.9,1989,10,GA
24140.8,1989,10,HI
48097.3,1989,10,IA
16073.9,1989,10,ID
235729.9,1989,10,IL
96951.6,1989,10,IN
44837.5,1989,10,KS
56534.9,1989,10,KY
63240.2,1989,10,LA
137782.3,1989,10,MA
108799.5,1989,10,MD
21647.7,1989,10,ME
174205.4,1989,10,MI
85701.1,1989,10,MN
90086.5,1989,10,MO
33764.3,1989,10,MS
12160.2,1989,10,MT
1.31,1989,10,NC
10119.5,1989,10,ND
28666.1,1989,10,NE
22871.9,1989,10,NH
188771.0,1989,10,NJ
22785.3,1989,10,NM
24258.4,1989,10,NV
426268.9,1989,10,NY
198501.6,1989,10,OH
50016.4,1989,10,OK
50753.0,1989,10,OR
227856.4,1989,10,PA
20344.5,1989,10,RI
55098.6,1989,10,SC
11251.9,1989,10,SD
80098.0,1989,10,TN
289599.8,1989,10,TX
25223.4,1989,10,UT
127574.7,1989,10,VA
10255.0,1989,10,VT
96498.5,1989,10,WA
88643.5,1989,10,WI
25637.5,1989,10,WV
8049.2,1989,10,WY
12486.5,1989,11,AK
62858.6,1989,11,AL
33745.2,1989,11,AR
62696.7,1989,11,AZ
631307.1,1989,11,CA
64270.5,1989,11,CO
85695.1,1989,11,CT
15510.5,1989,11,DC
14158.8,1989,11,DE
253124.9,1989,11,FL
113836.9,1989,11,GA
24140.8,1989,11,HI
48097.3,1989,11,IA
16073.9,1989,11,ID
235729.9,1989,11,IL
96951.6,1989,11,IN
44837.5,1989,11,KS
56534.9,1989,11,KY
63240.2,1989,11,LA
137782.3,1989,11,MA
108799.5,1989,11,MD
21647.7,1989,11,ME
174205.4,1989,11,MI
85701.1,1989,11,MN
90086.5,1989,11,MO
33764.3,1989,11,MS
12160.2,1989,11,MT
1.31,1989,11,NC
10119.5,1989,11,ND
28666.1,1989,11,NE
22871.9,1989,11,NH
188771.0,1989,11,NJ
22785.3,1989,11,NM
24258.4,1989,11,NV
426268.9,1989,11,NY
198501.6,1989,11,OH
50016.4,1989,11,OK
50753.0,1989,11,OR
227856.4,1989,11,PA
20344.5,1989,11,RI
55098.6,1989,11,SC
11251.9,1989,11,SD
80098.0,1989,11,TN
289599.8,1989,11,TX
25223.4,1989,11,UT
127574.7,1989,11,VA
10255.0,1989,11,VT
96498.5,1989,11,WA
88643.5,1989,11,WI
25637.5,1989,11,WV
8049.2,1989,11,WY
12486.5,1989,12,AK
62858.6,1989,12,AL
33745.2,1989,12,AR
62696.7,1989,12,AZ
631307.1,1989,12,CA
64270.5,1989,12,CO
85695.1,1989,12,CT
15510.5,1989,12,DC
14158.8,1989,12,DE
253124.9,1989,12,FL
113836.9,1989,12,GA
24140.8,1989,12,HI
48097.3,1989,12,IA
16073.9,1989,12,ID
235729.9,1989,12,IL
96951.6,1989,12,IN
44837.5,1989,12,KS
56534.9,1989,12,KY
63240.2,1989,12,LA
137782.3,1989,12,MA
108799.5,1989,12,MD
21647.7,1989,12,ME
174205.4,1989,12,MI
85701.1,1989,12,MN
90086.5,1989,12,MO
33764.3,1989,12,MS
12160.2,1989,12,MT
1.31,1989,12,NC
10119.5,1989,12,ND
28666.1,1989,12,NE
22871.9,1989,12,NH
188771.0,1989,12,NJ
22785.3,1989,12,NM
24258.4,1989,12,NV
426268.9,1989,12,NY
198501.6,1989,12,OH
50016.4,1989,12,OK
50753.0,1989,12,OR
227856.4,1989,12,PA
20344.5,1989,12,RI
55098.6,1989,12,SC
11251.9,1989,12,SD
80098.0,1989,12,TN
289599.8,1989,12,TX
25223.4,1989,12,UT
127574.7,1989,12,VA
10255.0,1989,12,VT
