Year,Month,State,RES,COM,IND,TRA,OTH,ALL
1990,11,FL,"5,849,276","705,021","22,933",,"86,500","6,663,730"
1990,12,FL,"5,849,276","705,021","22,933",,"86,500","6,663,730"
1990,1,GA,"2,645,481","294,759","15,082",,"20,244","2,975,566"
1990,2,GA,"2,645,481","294,759","15,082",,"20,244","2,975,566"
1990,3,GA,"2,645,481","294,759","15,082",,"20,244","2,975,566"
1990,4,GA,"2,645,481","294,759","15,082",,"20,244","2,975,566"
1990,5,GA,"2,645,481","294,759","15,082",,"20,244","2,975,566"
1990,6,GA,"2,645,481","294,759","15,082",,"20,244","2,975,566"
1990,7,GA,"2,645,481","294,759","15,082",,"20,244","2,975,566"
1990,8,GA,"2,645,481","294,759","15,082",,"20,244","2,975,566"
1990,9,GA,"2,645,481","294,759","15,082",,"20,244","2,975,566"
1990,10,GA,"2,645,481","294,759","15,082",,"20,244","2,975,566"
1990,11,GA,"2,645,481","294,759","15,082",,"20,244","2,975,566"
1990,12,GA,"2,645,481","294,759","15,082",,"20,244","2,975,566"
1990,1,HI,"316,459","47,997",705,,"1,537","366,698"
1990,2,HI,"316,459","47,997",705,,"1,537","366,698"
1990,3,HI,"316,459","47,997",705,,"1,537","366,698"
1990,4,HI,"316,459","47,997",705,,"1,537","366,698"
1990,5,HI,"316,459","47,997",705,,"1,537","366,698"
1990,6,HI,"316,459","47,997",705,,"1,537","366,698"
1990,7,HI,"316,459","47,997",705,,"1,537","366,698"
1990,8,HI,"316,459","47,997",705,,"1,537","366,698"
1990,9,HI,"316,459","47,997",705,,"1,537","366,698"
1990,10,HI,"316,459","47,997",705,,"1,537","366,698"
1990,11,HI,"316,459","47,997",705,,"1,537","366,698"
1990,12,HI,"316,459","47,997",705,,"1,537","366,698"
1990,1,IA,"1,137,688","157,186","3,773",,"11,757","1,310,404"
1990,2,IA,"1,137,688","157,186","3,773",,"11,757","1,310,404"
1990,3,IA,"1,137,688","157,186","3,773",,"11,757","1,310,404"
1990,4,IA,"1,137,688","157,186","3,773",,"11,757","1,310,404"
1990,5,IA,"1,137,688","157,186","3,773",,"11,757","1,310,404"
1990,6,IA,"1,137,688","157,186","3,773",,"11,757","1,310,404"
1990,7,IA,"1,137,688","157,186","3,773",,"11,757","1,310,404"
1990,8,IA,"1,137,688","157,186","3,773",,"11,757","1,310,404"
1990,9,IA,"1,137,688","157,186","3,773",,"11,757","1,310,404"
1990,10,IA,"1,137,688","157,186","3,773",,"11,757","1,310,404"
1990,11,IA,"1,137,688","157,186","3,773",,"11,757","1,310,404"
1990,12,IA,"1,137,688","157,186","3,773",,"11,757","1,310,404"
1990,1,ID,"401,443","69,840","4,462",,"3,385","479,130"
1990,2,ID,"401,443","69,840","4,462",,"3,385","479,130"
1990,3,ID,"401,443","69,840","4,462",,"3,385","479,130"
1990,4,ID,"401,443","69,840","4,462",,"3,385","479,130"
1990,5,ID,"401,443","69,840","4,462",,"3,385","479,130"
1990,6,ID,"401,443","69,840","4,462",,"3,385","479,130"
1990,7,ID,"401,443","69,840","4,462",,"3,385","479,130"
1990,8,ID,"401,443","69,840","4,462",,"3,385","479,130"
1990,9,ID,"401,443","69,840","4,462",,"3,385","479,130"
1990,10,ID,"401,443","69,840","4,462",,"3,385","479,130"
1990,11,ID,"401,443","69,840","4,462",,"3,385","479,130"
1990,12,ID,"401,443","69,840","4,462",,"3,385","479,130"
1990,1,IL,"4,367,769","442,990","4,574",,"19,656","4,834,989"
1990,2,IL,"4,367,769","442,990","4,574",,"19,656","4,834,989"
1990,3,IL,"4,367,769","442,990","4,574",,"19,656","4,834,989"
1990,4,IL,"4,367,769","442,990","4,574",,"19,656","4,834,989"
1990,5,IL,"4,367,769","442,990","4,574",,"19,656","4,834,989"
1990,6,IL,"4,367,769","442,990","4,574",,"19,656","4,834,989"
1990,7,IL,"4,367,769","442,990","4,574",,"19,656","4,834,989"
1990,8,IL,"4,367,769","442,990","4,574",,"19,656","4,834,989"
1990,9,IL,"4,367,769","442,990","4,574",,"19,656","4,834,989"
1990,10,IL,"4,367,769","442,990","4,574",,"19,656","4,834,989"
1990,11,IL,"4,367,769","442,990","4,574",,"19,656","4,834,989"
1990,12,IL,"4,367,769","442,990","4,574",,"19,656","4,834,989"
1990,1,IN,"2,191,036","242,457","15,429",,"8,794","2,457,716"
1990,2,IN,"2,191,036","242,457","15,429",,"8,794","2,457,716"
1990,3,IN,"2,191,036","242,457","15,429",,"8,794","2,457,716"
1990,4,IN,"2,191,036","242,457","15,429",,"8,794","2,457,716"
1990,5,IN,"2,191,036","242,457","15,429",,"8,794","2,457,716"
1990,6,IN,"2,191,036","242,457","15,429",,"8,794","2,457,716"
1990,7,IN,"2,191,036","242,457","15,429",,"8,794","2,457,716"
1990,8,IN,"2,191,036","242,457","15,429",,"8,794","2,457,716"
1990,9,IN,"2,191,036","242,457","15,429",,"8,794","2,457,716"
1990,10,IN,"2,191,036","242,457","15,429",,"8,794","2,457,716"
1990,11,IN,"2,191,036","242,457","15,429",,"8,794","2,457,716"
1990,12,IN,"2,191,036","242,457","15,429",,"8,794","2,457,716"
1990,1,KS,"1,013,671","156,287","12,708",,"11,563","1,194,229"
1990,2,KS,"1,013,671","156,287","12,708",,"11,563","1,194,229"
1990,3,KS,"1,013,671","156,287","12,708",,"11,563","1,194,229"
1990,4,KS,"1,013,671","156,287","12,708",,"11,563","1,194,229"
1990,5,KS,"1,013,671","156,287","12,708",,"11,563","1,194,229"
1990,6,KS,"1,013,671","156,287","12,708",,"11,563","1,194,229"
1990,7,KS,"1,013,671","156,287","12,708",,"11,563","1,194,229"
1990,8,KS,"1,013,671","156,287","12,708",,"11,563","1,194,229"
1990,9,KS,"1,013,671","156,287","12,708",,"11,563","1,194,229"
1990,10,KS,"1,013,671","156,287","12,708",,"11,563","1,194,229"
1990,11,KS,"1,013,671","156,287","12,708",,"11,563","1,194,229"
1990,12,KS,"1,013,671","156,287","12,708",,"11,563","1,194,229"
1990,1,KY,"1,480,107","186,216","8,434",,"17,678","1,692,435"
1990,2,KY,"1,480,107","186,216","8,434",,"17,678","1,692,435"
1990,3,KY,"1,480,107","186,216","8,434",,"17,678","1,692,435"
1990,4,KY,"1,480,107","186,216","8,434",,"17,678","1,692,435"
1990,5,KY,"1,480,107","186,216","8,434",,"17,678","1,692,435"
1990,6,KY,"1,480,107","186,216","8,434",,"17,678","1,692,435"
1990,7,KY,"1,480,107","186,216","8,434",,"17,678","1,692,435"
1990,8,KY,"1,480,107","186,216","8,434",,"17,678","1,692,435"
1990,9,KY,"1,480,107","186,216","8,434",,"17,678","1,692,435"
