Year	Month	State	Rev_RES	Rev_COM	Rev_IND	Rev_OTH	Rev_ALL
1991	5	ID	20.89	17.93	14.27	1.04	54.13
1991	5	IL	241.4	202.01	178.77	44.2	666.37
1991	5	IN	117.99	80.77	128.84	4.24	331.84
1991	5	KS	48.91	50.37	35.19	2.48	136.95
1991	5	KY	75.63	45.86	95.59	10.71	227.79
1991	5	LA	121.53	81.88	91.69	14.05	309.15
1991	5	MA	115.56	134.9	66.47	11.58	328.51
1991	5	MD	107.71	52.28	80.83	4.81	245.63
1991	5	ME	28.99	17.45	22.64	1.73	70.82
1991	5	MI	154.35	143.68	176.32	9.75	484.1
1991	5	MN	78.23	39.13	81.88	4.53	203.76
1991	5	MO	131.7	113.64	56.17	5.57	307.08
1991	5	MS	59.85	39.97	47.75	4.49	152.06
1991	5	MT	12.1	10.22	15.04	1.62	38.97
1991	5	NC	180.81	128.79	128.76	10.6	448.96
1991	5	ND	13.9	9.13	6.67	1.51	31.2
1991	5	NE	28.92	23.81	16.78	6	75.51
1991	5	NH	23.84	13.86	17.44	1.14	56.28
1991	5	NJ	175.32	215.41	96.58	6.56	493.87
1991	5	NM	24.21	30.4	18.86	7.39	80.86
1991	5	NV	21.63	19.33	22.37	3.06	66.39
1991	5	NY	329.75	375.87	146.3	73.5	925.42
1991	5	OH	254.22	205.53	236.71	24.88	721.34
1991	5	OK	70.36	51.12	36.52	10.48	168.49
1991	5	OR	56.57	43.99	39.04	3.71	143.3
1991	5	PA	281.12	206.95	238.14	13.65	739.87
1991	5	RI	17.45	16.97	9.43	1.6	45.45
1991	5	SC	88.92	59.69	90.46	3.92	242.99
1991	5	SD	14.8	7.22	6.16	1.15	29.33
1991	5	TN	101.7	56.23	133.28	5.24	296.45
1991	5	TX	451.41	333.65	292.62	67.23	1144.9
1991	5	UT	23.11	22.18	19.1	2.95	67.34
1991	5	VA	121.18	104.04	58.26	39.9	323.38
1991	5	VT	11.29	9.1	6.73	0.43	27.55
1991	5	WA	99.19	54.68	81.47	9.31	244.65
1991	5	WI	90.84	66.84	69.22	3.84	230.74
1991	5	WV	34.99	23.13	30.76	0.64	89.52
1991	5	WY	8.29	9.35	22.1	0.58	40.32
1991	6	AK	11.81	14.41	3.02	1.65	30.89
1991	6	AL	134.52	69.14	106.28	2.77	312.71
1991	6	AR	87.92	42.9	48.71	4.5	184.02
1991	6	AZ	117.45	107.1	50.86	11.15	286.56
1991	6	CA	536.73	710.7	366.33	38.83	1652.59
1991	6	CO	55.03	70.12	26.75	5.02	156.92
1991	6	CT	83.12	87.32	40.4	3.91	214.75
1991	6	DC	10.19	36.93	18.74	1.62	67.48
1991	6	DE	22.02	16.75	13.73	0.46	52.96
1991	6	FL	529.43	312.02	68.9	30.76	941.11
1991	6	GA	232.68	152.17	113.87	6.79	505.49
1991	6	HI	21.15	19.63	19.71	0.32	60.8
1991	6	IA	81.3	43.25	43.16	4.47	172.17
1991	6	ID	19.01	20.76	15.42	2.31	57.49
1991	6	IL	347.64	252.06	195.51	50.7	845.9
1991	6	IN	145.76	89.03	124.93	4.19	363.92
1991	6	KS	78.55	57.98	36.75	2.68	175.96
1991	6	KY	98.54	48.59	97.05	11.65	255.83
1991	6	LA	163.92	91.97	99.2	14.82	369.91
1991	6	MA	118.2	140.7	72.09	10.46	341.46
1991	6	MD	157.62	78.41	107.95	5.67	349.64
1991	6	ME	27.33	17.38	22.19	1.72	68.61
1991	6	MI	193.77	156.99	183.2	10.16	544.12
1991	6	MN	91.4	48.17	91.93	4.24	235.73
1991	6	MO	179.17	136.09	70.67	6.39	392.31
1991	6	MS	79.24	45.07	49.64	4.49	178.45
1991	6	MT	11.76	10.5	15.8	1.66	39.72
1991	6	NC	229.14	140.58	136.17	10.76	516.65
1991	6	ND	12.94	9.62	6.93	1.71	31.19
1991	6	NE	42.1	29.37	18.82	8.93	99.22
1991	6	NH	25.83	16.8	21.59	1.25	65.47
1991	6	NJ	226.8	235.47	101.16	6.62	570.05
1991	6	NM	26.15	33.26	18.58	7.57	85.56
1991	6	NV	28.1	22.7	28.76	3.44	83
1991	6	NY	373.97	461.06	167.55	80.73	1083.3
1991	6	OH	299.34	223.35	246.55	24.18	793.43
1991	6	OK	112.18	68	42.41	11.94	234.53
1991	6	OR	50.42	41.63	38.8	3.75	134.6
1991	6	PA	308.1	221.6	243.25	13.41	786.36
1991	6	RI	20.31	21.14	11.08	1.67	54.2
1991	6	SC	115.84	69	94.94	3.9	283.68
1991	6	SD	15.81	8.24	7.18	1.25	32.48
1991	6	TN	138.5	65.54	140.94	5.97	350.95
1991	6	TX	629.01	357.39	293.16	55.44	1335.01
